SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
CN1CCN(C(=O)C(=O)N2CCC3(CCNC3)CC2)CC1=O,ZINC000516576759,Filter41_12_dicarbonyl > 0,308.382,-1.1108999999999964,1,4,72.96000000000001,0
CN(C)CCN(CCN(C)C)C(=O)c1nc(N)nc(N(C)C)n1,ZINC000516577609,OK,324.43300000000005,-0.9147999999999965,1,8,94.72,8
Cn1ccnc(N2CCN(S(=O)(=O)N3CCC3)CC2)c1=O,ZINC000516590152,Filter82_pyridinium > 0,313.3830000000001,-1.1471999999999978,0,6,78.75,3
CN(C)CCCN(C)C(=O)C(=O)NC[C@@H]1CN(C)CCO1,ZINC000516590952,Filter41_12_dicarbonyl > 0,300.4030000000001,-1.1566999999999952,1,5,65.12,6
CN(C)CCCN(C)C(=O)C(=O)NC[C@H]1CN(C)CCO1,ZINC000516590958,Filter41_12_dicarbonyl > 0,300.4030000000001,-1.1566999999999952,1,5,65.12,6
COC(=O)CNC(=O)c1cc2c(n1C)n(C)c(=O)n(C)c2=O,ZINC000516599361,Filter82_pyridinium > 0,308.29400000000004,-1.5214999999999987,1,8,104.32999999999998,3
CS(=O)(=O)N1CCN(CC(=O)NCCc2ncc[nH]2)CC1,ZINC000516612830,OK,315.39900000000006,-1.3543999999999965,2,5,98.4,6
CCOC(=O)CNC(=O)c1cc2c(n1C)n(C)c(=O)n(C)c2=O,ZINC000516623170,Filter82_pyridinium > 0,322.3210000000001,-1.1313999999999993,1,8,104.32999999999998,4
C[C@@H]1CN(C(=O)C(=O)N2CCN(C3CC3)C(=O)C2)C[C@H]1C(=O)O,ZINC000516642997,Filter41_12_dicarbonyl > 0,323.349,-1.0012999999999974,1,4,98.23,2
CN(C)C(=O)N1CCN(C(=O)C(=O)N2CC[C@@H]3CNC[C@@H]32)CC1,ZINC000516643566,Filter41_12_dicarbonyl > 0,323.39700000000005,-1.3674999999999966,1,4,76.2,0
O=C(CNC1CC1)N1CC(S(=O)(=O)N2CCNCC2)C1,ZINC000516650058,OK,302.4000000000001,-1.8157999999999963,2,5,81.75,5
O=C(Cn1nc2ccccn2c1=O)NC[C@H]1CNCCCO1,ZINC000516650378,OK,305.33800000000014,-1.0092999999999976,2,7,89.66,4
O=C(Cn1nc2ccccn2c1=O)NC[C@@H]1CNCCCO1,ZINC000516650379,OK,305.33800000000014,-1.0092999999999976,2,7,89.66,4
C[C@@H](NC(=O)C(C)(C)C(=O)O)C(=O)N1CCS(=O)(=O)CC1,ZINC000516653550,OK,320.3670000000001,-1.1410999999999978,2,5,120.85,4
C[C@H](NC(=O)C(C)(C)C(=O)O)C(=O)N1CCS(=O)(=O)CC1,ZINC000516653551,OK,320.3670000000001,-1.1410999999999978,2,5,120.85,4
COC(=O)C[C@@H]1C(=O)NCCN1C(=O)CSCC(=O)O,ZINC000516654855,OK,304.32400000000007,-1.305699999999998,2,6,113.01,6
COC(=O)C[C@H]1C(=O)NCCN1C(=O)CSCC(=O)O,ZINC000516654856,OK,304.32400000000007,-1.305699999999998,2,6,113.01,6
C[C@@H]1C(=O)NCCCN1C(=O)CN(C)S(=O)(=O)N(C)C,ZINC000516655519,OK,306.38800000000003,-1.5383999999999967,1,4,90.02999999999999,4
C[C@H]1C(=O)NCCCN1C(=O)CN(C)S(=O)(=O)N(C)C,ZINC000516655520,OK,306.38800000000003,-1.5383999999999967,1,4,90.02999999999999,4
NCC(F)(F)CC(=O)N1CCN(CCS(N)(=O)=O)CC1,ZINC000516660132,OK,314.35800000000006,-1.5967999999999973,2,5,109.72999999999999,6
CN(C)[C@H]1CN(C(=O)[C@@](C)(O)Cn2ccccc2=O)C[C@@H]1O,ZINC000516661845,Filter82_pyridinium > 0,309.3660000000001,-1.2673999999999974,2,6,86.01,4
